parcel,source,owner_name,address,jurisdiction,luc,luc_desc,parcel_class,acres,assessed_land,assessed_bldg,has_building,city_department,city_intended_use,development_candidate,census_tract,lat,lon
R72 09807 0078,both,DAYTON CITY OF,917 919 REIST AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001970.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-1,39.743698021061306,-84.21874376020429
R72 09807 0098,both,DAYTON CITY OF,REIST AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000001970.00,000000000000.00,N,Public Works,Other,Y,39113-003500-1,39.74339828239727,-84.21828916500476
R72 09807 0106,both,DAYTON CITY OF,859 S PAUL LAURENCE DUNBAR ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000001970.00,000000000000.00,N,Public Works,Other,Y,39113-003500-1,39.74436594198892,-84.21780152057254
R72 09807 0107,both,DAYTON CITY OF,PAUL LAURENCE DUNBAR ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000001970.00,000000000000.00,N,Public Works,Other,Y,39113-003500-1,39.74428400832316,-84.21779000211507
R72 09808 0034,county_only,DAYTON CITY OF,825 FRIZELL AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000001960.00,000000000000.00,N,,,Y,39113-003500-1,39.74469793002506,-84.22151437229083
R72 09901 0008,both,DAYTON CITY OF,1130 GERMANTOWN ST,DAYTON,400,Commercial vacant land,C,0000.00000,000000002940.00,000000000000.00,N,,,Y,39113-165100-2,39.749067524778305,-84.21171914626849
R72 09902 0045,both,CITY OF DAYTON,708 WARD ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002610.00,000000000000.00,N,,,Y,39113-003500-2,39.7465961261527,-84.21260395011015
R72 09902 0046,both,DAYTON CITY OF,712 WILLIAMS ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002720.00,000000000000.00,N,Public Works,Other,Y,39113-003500-2,39.746500383642015,-84.21260394802556
R72 09902 0053,both,DAYTON CITY OF,209 ORLEANS ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002090.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-2,39.74659941355449,-84.21210961102427
R72 09904 0025,both,DAYTON CITY OF,CALM ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002300.00,000000000000.00,N,,,Y,39113-165100-2,39.747943725364884,-84.21345839331151
R72 09904 0067,both,DAYTON CITY OF,122 BELTON ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001690.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-2,39.74634731447167,-84.21353397105555
R72 09904 0071,both,DAYTON CITY OF,101 BELTON ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001940.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-2,39.746798856652916,-84.21382253695508
R72 09904 0072,both,DAYTON CITY OF,105 BELTON ST,DAYTON,600,"Exempt, owned by USA",E,0000.00000,000000001940.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-2,39.746698959837175,-84.2138947934427
R72 09904 0073,both,CITY OF DAYTON,109 BELTON ST,DAYTON,600,"Exempt, owned by USA",E,0000.00000,000000001940.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-2,39.74658364621012,-84.21389551364636
R72 09904 0096,both,CITY OF DAYTON,ALBANY ST,DAYTON,400,Commercial vacant land,C,0000.00700,000000000000.00,000000000000.00,N,,,Y,39113-003500-2,39.74606005408014,-84.21452475427752
R72 09905 0041,county_only,CITY OF DAYTON,ALBANY ST,DAYTON,400,Commercial vacant land,C,0000.00700,000000000000.00,000000000000.00,N,,,Y,,,
R72 10008 0096,county_only,THE CITY OF DAYTON,ROADWAY,DAYTON,400,Commercial vacant land,C,0000.00500,000000000000.00,000000000000.00,N,,,Y,,,
R72 10103 0029,county_only,DAYTON CITY OF,HOPELAND ST,DAYTON,400,Commercial vacant land,C,0000.00000,000000000000.00,000000000000.00,N,,,Y,,,
R72 10103 0051,county_only,DAYTON CITY OF,ST FRANCIS ST,DAYTON,400,Commercial vacant land,C,0000.00000,000000000000.00,000000000000.00,N,,,Y,,,
R72 10106 0019,county_only,CITY OF DAYTON,MIAMI BLVD,DAYTON,300,"Industrial, vacant land",I,0000.16800,000000000000.00,000000000000.00,N,,,Y,,,
R72 10109 0001,both,DAYTON CITY OF,720 CINCINNATI ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002330.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-3,39.74223314007019,-84.20174873170177
R72 10109 0050,both,DAYTON CITY OF,726 742 CINCINNATI ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000004750.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-3,39.7419303739626,-84.20198673330582
R72 10111 0008,county_only,THE CITY OF DAYTON,EDWIN C MOSES BLVD,DAYTON,400,Commercial vacant land,C,0000.50400,000000000000.00,000000000000.00,N,,,Y,,,
R72 10111 0009,county_only,CITY OF DAYTON,EDWIN C MOSES BLVD,DAYTON,300,"Industrial, vacant land",I,0000.28000,000000000000.00,000000000000.00,N,,,Y,,,
R72 10205 0033,both,DAYTON CITY OF,121 WESTBORO ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002990.00,000000000000.00,N,Public Works,Other,Y,39113-003500-3,39.7429749980684,-84.20341364749748
R72 10205 0034,both,DAYTON CITY OF,WESTBORO ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002990.00,000000000000.00,N,,,Y,39113-003500-3,39.74307644690794,-84.20354312168672
R72 10205 0035,both,DAYTON CITY OF,WESTBORO ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002990.00,000000000000.00,N,,,Y,39113-003500-3,39.74307535642591,-84.20366335263026
R72 10205 0082,both,DAYTON CITY OF,416 KIRKHAM ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002280.00,000000000000.00,N,,,Y,39113-003500-3,39.743119488867855,-84.20378401865521
R72 10209 0022,both,DAYTON CITY OF,530 BOLANDER AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000003210.00,000000000000.00,N,Public Works,Other,Y,39113-003500-3,39.74170710091061,-84.20336488838433
R72 10209 0100,both,DAYTON CITY OF,515 SMITH ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000000630.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-3,39.74099013280695,-84.20338646924851
R72 10302 0026,both,CITY OF DAYTON,552 PONTIAC AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002510.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-2,39.74265363909205,-84.21244374472421
R72 10305 0021,both,DAYTON CITY OF,WILDWOOD AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001150.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-2,39.74018207140873,-84.21022906842403
R72 10305 0025,both,DAYTON CITY OF,1177 WILDWOOD AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002780.00,000000000000.00,N,Public Works,Other,Y,39113-003500-2,39.73982539653391,-84.21000547173479
R72 10305 0046,both,CITY OF DAYTON,WILDWOOD AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002100.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-2,39.74090347818859,-84.20970115886287
R72 10306 0014,both,DAYTON CITY OF,819 LATHAM ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002510.00,000000000000.00,N,Public Works,Other,Y,39113-003500-2,39.739162553250274,-84.21038881526201
R72 10306 0023,both,DAYTON CITY OF,844 LATHAM ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002000.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-2,39.73879563663432,-84.21113970486037
R72 10306 0025,both,DAYTON CITY OF,LATHAM ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002510.00,000000000000.00,N,Public Works,Other,Y,39113-003500-2,39.73873422400314,-84.21087379412141
R72 10306 0026,both,DAYTON CITY OF,832 LATHAM ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002510.00,000000000000.00,N,Public Works,Other,Y,39113-003500-2,39.73880953645557,-84.2107523627253
R72 10403A0061,both,CITY OF DAYTON,1331 STEINER AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000000920.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-2,39.742673484238836,-84.21670887330498
R72 10404 0007,both,DAYTON CITY OF,1420 WEAVER ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002200.00,000000000000.00,N,Public Works,Other,Y,39113-003500-1,39.73914735464668,-84.2182086075727
R72 10406 0006,both,CITY OF DAYTON,1347 HOCHWALT AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002070.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-2,39.74114832590781,-84.21735422198621
R72 10406 0063,both,DAYTON CITY OF,1207 S BROADWAY ST,DAYTON,400,Commercial vacant land,C,0000.00000,000000000250.00,000000000000.00,N,Public Works,Other,Y,39113-003500-2,39.739952669524826,-84.21581397349642
R72 10407 0006,both,DAYTON CITY OF,922 DONA AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000000390.00,000000000000.00,N,Public Works,Other,Y,39113-003500-2,39.74307404229355,-84.21555537463534
