parcel,source,owner_name,address,jurisdiction,luc,luc_desc,parcel_class,acres,assessed_land,assessed_bldg,has_building,city_department,city_intended_use,development_candidate,census_tract,lat,lon
R72 07506 0004,county_only,CITY OF DAYTON,1018 RIVERVIEW AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000006470.00,000000000000.00,N,,,N,39113-001000-2,39.760678194821466,-84.21069154578895
R72 07506 0007,both,DAYTON CITY OF,1008 RIVERVIEW AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000000000.00,000000000000.00,N,,,Y,39113-001000-2,39.76071903798769,-84.21029227249007
R72 07506 0008,both,DAYTON CITY OF,1000 1002 RIVERVIEW AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000000000.00,000000000000.00,N,,,Y,39113-001000-2,39.760699940204,-84.21016998865333
R72 07506 0018,both,CITY OF DAYTON,411 NEGLEY PL,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000005370.00,000000000000.00,N,,,N,39113-001000-2,39.76005228247079,-84.21049472348703
R72 07506 0024,both,DAYTON CITY OF,401 403 NEGLEY PL,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000005710.00,000000000000.00,N,Planning,Surplus,Y,39113-001000-2,39.76015773914706,-84.2102574728473
R72 07507 0010,both,DAYTON CITY OF,ORTH AVE,DAYTON,640,"Exempt, owned by municipals",E,0008.07100,000000044390.00,000000036320.00,Y,Public Works,Other,N,39113-001000-2,39.76052891779709,-84.20850340006133
R72 07509 0040,both,DAYTON CITY OF,RIVERVIEW AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000000000.00,000000000000.00,N,,,N,39113-000700-2,39.76192889786911,-84.2156350499418
R72 07509 0051,both,CITY OF DAYTON,CALVERT LN,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002370.00,000000000000.00,N,,,N,39113-000700-2,39.76341831561755,-84.21594032575567
R72 07509 0064,both,DAYTON CITY OF,EDGEWOOD AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000000000.00,000000000000.00,N,,,N,39113-000700-2,,
R72 07509 0066,county_only,DAYTON CITY OF,CORNER OF RIVERVIEW TER,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000000000.00,000000000000.00,N,,,N,,,
R72 07510 0020,both,DAYTON CITY OF,1223 RIVERVIEW AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000000170.00,000000000000.00,N,Public Works,Other,N,39113-001000-2,39.761374228087824,-84.21333404887876
R72 07510 0036,both,CITY OF DAYTON,MEREDITH ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000006380.00,000000000000.00,N,,,N,39113-001000-2,39.7621223608866,-84.21219990978558
R72 07512 0021,both,DAYTON CITY OF,NEGLEY PL,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000003240.00,000000000000.00,N,,,N,39113-001000-2,39.76091494045195,-84.21420761016087
R72 07601 0007,county_only,DAYTON CITY OF,1602 W RIVERVIEW AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000005960.00,000000000000.00,N,,,N,39113-000700-2,39.76243900017289,-84.21984120336982
R72 07601 0014,county_only,DAYTON CITY OF,601 N PAUL LAURENCE DUNBAR ST,DAYTON,620,"Exempt, owned by counties",E,0000.00000,000000004990.00,000000000000.00,N,,,N,39113-000700-2,39.761829470293854,-84.21981359738676
